"MW, Name",NIST ID
30.   86.04 Crotonic acid,C3724650
"31.   86.04 2,3-Butanedione",C431038
"32.   86.04 1,4-Dioxin, 2,3-dihydro-",C543759
"33.   86.04 2-Propenoic acid, 2-methyl-",C79414
"34.   86.04 2-Propenoic acid, methyl ester",C96333
35.   86.04 Butyrolactone,C96480
36.   86.05 2-Imidazolidinone,C120934
37.   86.07 3-Penten-2-ol (trans),B6009168
38.   86.07 2-Pentanone,C107879
39.   86.07 Pentanal,C110623
"40.   86.07 Furan, tetrahydro-3-methyl-",C13423159
41.   86.07 Tetrahydropyran,C142687
42.   86.07 3-Penten-2-ol,C1569502
"43.   86.07 2-Penten-1-ol, (Z)-",C1576950
44.   86.07 Cyclopropaneethanol,C2566441
45.   86.07 Cyclobutanemethanol,C4415821
46.   86.07 Prenol,C556821
47.   86.07 Allyl ethyl ether,C557313
"48.   86.07 2-Butanone, 3-methyl-",C563804
"49.   86.07 Butanal, 3-methyl-",C590863
50.   86.07 2-Methylcyclopropanemethanol,C6077721
51.   86.07 1-Penten-3-ol,C616251
52.   86.07 4-Penten-2-ol,C625310
"53.   86.07 3-Buten-1-ol, 3-methyl-",C763326
54.   86.07 Cyclopropyl methyl carbinol,C765424
55.   86.07 4-Penten-1-ol,C821090
"56.   86.07 Propane, 2-(ethenyloxy)-",C926658
"57.   86.07 Butanal, 2-methyl-",C96173
58.   86.07 3-Pentanone,C96220
59.   86.07 Cyclopentanol,C96413
"60.   86.08 1,2-Ethanediamine, N,N'-dimethyl-",C110703
"61.   86.11 Pentane, 2-methyl-",C107835
62.   86.11 n-Hexane,C110543
"63.   86.11 Butane, 2,2-dimethyl-",C75832
"64.   86.11 Butane, 2,3-dimethyl-",C79298
"65.   86.11 Pentane, 3-methyl-",C96140
"66.   86.99 2-Propenenitrile, 2-chloro-",C920376
67.   87.01 (Methylthio)-acetonitrile,C35120106
"68.   87.01 Ethane, isothiocyanato-",C542858
"69.   87.01 Thiocyanic acid, ethyl ester",C542905
70.   87.07 Morpholine,C110918
"71.   87.07 N,N-Dimethylacetamide",C127195
"72.   87.07 Propanal, 2-methyl-, oxime",C151008
73.   87.07 Butanamide,C541355
"74.   87.07 Propanamide, 2-methyl-",C563837
"75.   87.07 Acetamide, N-ethyl-",C625503
"76.   87.07 2-Butanone, oxime",C96297
77.   87.10 1-Pentanamine,C110587
"78.   87.10 2-Butanamine, 2-methyl-",C594398
79.   87.10 2-Pentanamine,C625309
"80.   87.10 1-Propanamine, N,2-dimethyl-",C625434
81.   87.10 2-Pentanamine,C63493287
"82.   87.10 1-Butanamine, 2-methyl-",C96151
"83.   87.12 T-butylamine, compound with boron trihydride",B6007185
84.   87.99 Tetrafluoromethane,C75730
"85.   88.01 Cis-1-chloro-1,3-butadiene",C10033995
"86.   88.01 1,3-Butadiene, 2-chloro-",C126998
"87.   88.01 Trans-1-chloro-1,3-butadiene",C16503256
"88.   88.01 1-Butyne, 3-chloro-",C21020246
"89.   88.02 Propanoic acid, 2-oxo-",C127173
"90.   88.02 1,3-Dioxolan-2-one",C96491
"91.   88.03 Ethanedial, dioxime",C557302
92.   88.03 Ethylvinyl sulfide,C627509
"93.   88.05 Butanal, 3-hydroxy-",C107891
94.   88.05 Butanoic acid,C107926
"95.   88.05 2-Butene-1,4-diol",C110645
"96.   88.05 Formic acid, propyl ester",C110747
"97.   88.05 1,4-Dioxane",C123911
98.   88.05 Ethyl Acetate,C141786
"99.   88.05 1,3-Dioxolane, 2-methyl-",C497267
"100.   88.05 1,3-Dioxane",C505226
101.   88.05 Acetoin,C513860
102.   88.05 Methyl propionate,C554121
"103.   88.05 2-Propanone, 1-methoxy-",C5878193
"104.   88.05 Formic acid, 1-methylethyl ester",C625558
"105.   88.05 Ethanol, 2-(vinyloxy)-",C764487
"106.   88.05 Propanoic acid, 2-methyl-",C79312
107.   88.07 Diethylsilane,C542916
"108.   88.07 Silane, tetramethyl-",C75763
109.   88.09 2-Methyl-1-butanol,B6001118
"110.   88.09 1-Butanol, 3-methyl-",C123513
"111.   88.09 1-Butanol, 2-methyl-",C137326
"112.   88.09 1-Butanol, 2-methyl-, (S)-",C1565806
113.   88.09 (R)-(-)-3-Methyl-2-butanol,C1572936
"114.   88.09 Propane, 2-methoxy-2-methyl-",C1634044
115.   88.09 (S)-(+)-2-Pentanol,C26184623
116.   88.09 3-Pentanol,C584021
"117.   88.09 2-Butanol, 3-methyl-",C598754
118.   88.09 2-Pentanol,C6032297
119.   88.09 1-Pentanol,C71410
"120.   88.09 1-Propanol, 2,2-dimethyl-",C75843
121.   88.09 Amylene hydrate,C75854
"122.   88.10 1,4-Butanediamine",C110601
"123.   88.10 1,2-Ethanediamine, N-ethyl-",C110725
"124.   88.10 1,3-Propanediamine, N-methyl-",C6291845
125.   88.10 Tetramethylhydrazine,C6415129
"126.   88.10 2-Methyl-1,2-propanediamine",C811938
"127.   89.03 Thiazole, tetrahydro-",C504789
"128.   89.03 Methanethioamide, N,N-dimethyl-",C758167
"129.   89.05 Propane, 1-nitro-",C108032
130.   89.05 2-Methoxyacetamide,C16332062
"131.   89.05 Propanamide, 2-hydroxy-",C2043438
132.   89.05 Urethane,C51796
"133.   89.05 Propane, 2-nitro-",C79469
134.   89.06 Aminoacethydrazide,C14379807
"135.   89.06 Semicarbazide, 4-methyl-",C17696956
"136.   89.08 N,N-Dimethylaminoethanol",C108010
"137.   89.08 Ethanol, 2-(ethylamino)-",C110736
"138.   89.08 1-Propanol, 2-amino-2-methyl-",C124685
139.   89.08 4-Amino-1-butanol,C13325105
140.   89.08 1-Amino-2-butanol,C13552211
141.   89.08 Diethylhydroxylamine,C3710847
"142.   89.08 2-Propanamine, 1-methoxy-",C37143547
"143.   89.08 1-Propanamine, 3-methoxy-",C5332730
"144.   89.08 1-Butanol, 2-amino-",C96208
145.   89.99 2-Propenoyl chloride,C814686
"146.   90.02 2-Butene, 2-chloro-, (E)-",C2211689
"147.   90.02 2-Butene, 2-chloro-, (Z)-",C2211690
148.   90.02 2-Chloro-1-butene,C2211703
"149.   90.02 1-Propene, 1-chloro-2-methyl-",C513371
"150.   90.02 1-Propene, 3-chloro-2-methyl-",C563473
"151.   90.02 1-Butene, 3-chloro-",C563520
152.   90.02 (Chloromethyl)cyclopropane,C5911080
"153.   90.02 2-Butene, 1-chloro-",C591979
"154.   90.02 1-Butene, 1-chloro-, (Z)-",C7611861
155.   90.02 Trans-1-chloro-1-butene,C7611872
156.   90.03 Lactic acid,C50215
"157.   90.03 Carbonic acid, dimethyl ester",C616386
"158.   90.03 Acetic acid, methoxy-",C625456
159.   90.03 Dihydroxyacetone,C96264
"160.   90.04 Urea, methoxy-",C3272273
"161.   90.04 Acetohydroxamic acid, 2-amino-",C5349804
162.   90.05 1-Butanethiol,C109795
163.   90.05 Diethyl sulfide,C352932
"164.   90.05 1-Propanethiol, 2-methyl-",C513440
165.   90.05 2-Butanethiol,C513531
"166.   90.05 2-Propanethiol, 2-methyl-",C75661
"167.   90.07 1,3-Butanediol",C107880
"168.   90.07 2-Propanol, 1-methoxy-",C107982
"169.   90.07 1,4-Butanediol",C110634
"170.   90.07 Ethane, 1,2-dimethoxy-",C110714
"171.   90.07 Ethanol, 2-ethoxy-",C110805
"172.   90.07 1-Propanol, 2-methoxy-",C1589475
173.   90.07 Trimethylene glycol monomethyl ether,C1589497
"174.   90.07 2,3-Butanediol",C513859
"175.   90.07 Ethane, 1,1-dimethoxy-",C534156
"176.   90.07 1,2-Propanediol, 2-methyl-",C558430
"177.   90.07 1,2-Butanediol",C584032
178.   91.01 Mercaptoacetamide,C758087
179.   91.01 Aminothioacetic acid,C758101
"180.   91.03 Ethanol, 2-nitro-",C625489
"181.   91.03 Nitric acid, ethyl ester",C625581
